label
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
BRIGHT
DIM
